Strategy,Total Inventory Cost,Inventory Cost Per Demand Unit,Service Level,Service Hit Rate
Oracle,1633182.571,0.129,1.0,1.0
Best Inventory,3010924.926,0.237,0.984,0.851
Global Best,3010924.926,0.237,0.984,0.851
LightGBM,3010924.926,0.237,0.984,0.851
Family Best,3064462.341,0.241,0.981,0.831
XGBoost,3084473.829,0.243,0.98,0.824
Stability-Aware,3251369.903,0.256,0.977,0.82
Feasibility-Aware,3375551.068,0.266,0.976,0.819
Simple Ensemble,3412038.615,0.269,0.978,0.807
Seasonal,4085181.846,0.321,0.971,0.797
Best Stability,5263648.54,0.414,0.956,0.754
Moving Avg.,5263648.54,0.414,0.956,0.754
Naive,5414019.631,0.426,0.95,0.675
Exp. Smooth,5430867.016,0.427,0.952,0.735
