split,model_name,row_count,WAPE,MAE,feature_set
test,global_sklearn,2590,0.057,3584.512,history_only
test,moving_average_4,2590,0.065,4082.944,history_only
test,exponential_smoothing,2590,0.065,4131.896,history_only
test,moving_average_13,2590,0.071,4483.299,history_only
test,seasonal_4_week,2590,0.072,4582.874,history_only
test,naive_last_value,2590,0.074,4707.882,history_only
validation,global_sklearn,2585,0.059,3755.193,history_only
validation,moving_average_4,2585,0.064,4051.522,history_only
validation,exponential_smoothing,2585,0.066,4144.746,history_only
validation,seasonal_4_week,2585,0.072,4553.756,history_only
validation,moving_average_13,2585,0.073,4637.729,history_only
validation,naive_last_value,2585,0.076,4786.15,history_only
test,global_sklearn,2590,0.057,3634.124,history_plus_context
test,moving_average_4,2590,0.065,4082.944,history_plus_context
test,exponential_smoothing,2590,0.065,4131.896,history_plus_context
test,moving_average_13,2590,0.071,4483.299,history_plus_context
test,seasonal_4_week,2590,0.072,4582.874,history_plus_context
test,naive_last_value,2590,0.074,4707.882,history_plus_context
validation,global_sklearn,2585,0.06,3803.609,history_plus_context
validation,moving_average_4,2585,0.064,4051.522,history_plus_context
validation,exponential_smoothing,2585,0.066,4144.746,history_plus_context
validation,seasonal_4_week,2585,0.072,4553.756,history_plus_context
validation,moving_average_13,2585,0.073,4637.729,history_plus_context
validation,naive_last_value,2585,0.076,4786.15,history_plus_context
