Scenario,Volatility Weight,Switch Weight,Execution Weight,Best Strategy,Global Best Loss,Feasibility-Aware Loss,Stability-Aware Loss,Moving Avg. Loss
weights_01,0.5,0.5,0.5,Global Best,4663931.2,4732418.666,4890395.022,7650785.842
weights_02,0.5,0.5,1.0,Global Best,4936997.873,5219396.697,5091782.931,7650785.842
weights_03,0.5,0.5,2.0,Global Best,5483131.218,6069816.696,5494558.748,7650785.842
weights_04,0.5,0.5,5.0,Feasibility-Aware,7121531.254,6498702.305,6702886.198,7650785.842
weights_05,0.5,0.5,10.0,Feasibility-Aware,9852197.981,6603234.658,8716765.282,7650785.842
weights_06,0.5,10.0,0.5,Global Best,4663931.2,4674419.463,4730122.057,7650785.842
weights_07,0.5,10.0,1.0,Global Best,4936997.873,4999762.406,4998825.419,7650785.842
weights_08,0.5,10.0,2.0,Global Best,5483131.218,5814098.989,5536232.143,7650785.842
weights_09,0.5,10.0,5.0,Feasibility-Aware,7121531.254,6597585.721,7148452.315,7650785.842
weights_10,0.5,10.0,10.0,Feasibility-Aware,9852197.981,6676084.798,9835485.936,7650785.842
weights_11,25.0,0.5,0.5,Global Best,4674097.819,7640822.897,6621474.144,7651148.794
weights_12,25.0,0.5,1.0,Global Best,4947164.492,7641846.922,6625197.931,7651148.794
weights_13,25.0,0.5,2.0,Global Best,5493297.837,7643894.973,6632645.505,7651148.794
weights_14,25.0,0.5,5.0,Stability-Aware,7131697.873,7650039.126,6654988.226,7651148.794
weights_15,25.0,0.5,10.0,Stability-Aware,9862364.6,7660279.38,6692226.094,7651148.794
weights_16,25.0,10.0,0.5,Global Best,4674097.819,7649353.78,7463766.916,7651148.794
weights_17,25.0,10.0,1.0,Global Best,4947164.492,7650377.805,7466462.329,7651148.794
weights_18,25.0,10.0,2.0,Global Best,5493297.837,7652425.856,7471853.156,7651148.794
weights_19,25.0,10.0,5.0,XGBoost,7131697.873,7658570.009,7488025.637,7651148.794
weights_20,25.0,10.0,10.0,Stability-Aware,9862364.6,7668810.263,7514979.771,7651148.794
weights_21,100.0,0.5,0.5,Global Best,4705220.121,7626988.484,6675604.952,7652259.872
weights_22,100.0,0.5,1.0,Global Best,4978286.794,7628012.509,6679337.645,7652259.872
weights_23,100.0,0.5,2.0,Global Best,5524420.139,7630060.56,6686803.031,7652259.872
weights_24,100.0,0.5,5.0,Stability-Aware,7162820.176,7636204.712,6709199.191,7652259.872
weights_25,100.0,0.5,10.0,Stability-Aware,9893486.903,7646444.966,6746526.123,7652259.872
weights_26,100.0,10.0,0.5,Global Best,4705220.121,7639839.253,7465585.111,7652259.872
weights_27,100.0,10.0,1.0,Global Best,4978286.794,7640863.278,7467996.899,7652259.872
weights_28,100.0,10.0,2.0,Global Best,5524420.139,7642911.329,7472820.474,7652259.872
weights_29,100.0,10.0,5.0,XGBoost,7162820.176,7649055.481,7487291.202,7652259.872
weights_30,100.0,10.0,10.0,Stability-Aware,9893486.903,7659295.735,7511409.081,7652259.872
